ts_et,strat,event,direction,price,qty,reason
2026-05-19 13:05:00 EDT,FB,ENTRY,LONG,29054.75,1,
2026-05-19 14:00:00 EDT,FB,EXIT,LONG,29068.75,1,EOD
2026-05-20 10:55:00 EDT,FB,ENTRY,LONG,29244.25,1,
2026-05-20 14:00:00 EDT,FB,EXIT,LONG,29301.25,1,EOD
2026-05-22 11:00:00 EDT,FB,ENTRY,LONG,29647.25,1,
2026-05-22 14:00:00 EDT,FB,EXIT,LONG,29678.50,1,EOD
2026-05-26 10:00:00 EDT,FB,ENTRY,LONG,30006.75,1,
2026-05-26 12:00:00 EDT,FB,EXIT,LONG,29891.00,1,SL
2026-05-28 10:45:00 EDT,FB,ENTRY,LONG,30167.25,1,
2026-05-28 14:00:00 EDT,FB,EXIT,LONG,30319.50,1,EOD
2026-05-29 09:50:00 EDT,FB,ENTRY,LONG,30486.00,1,
2026-05-29 10:45:00 EDT,FB,EXIT,LONG,30297.00,1,SL
2026-06-01 12:05:00 EDT,FB,ENTRY,LONG,30512.25,1,
2026-06-01 14:00:00 EDT,FB,EXIT,LONG,30670.00,1,EOD
2026-06-02 10:15:00 EDT,FB,ENTRY,LONG,30633.75,1,
2026-06-02 14:00:00 EDT,FB,EXIT,LONG,30627.50,1,EOD
2026-06-04 11:55:00 EDT,FB,ENTRY,LONG,30398.25,1,
2026-06-04 14:00:00 EDT,FB,EXIT,LONG,30559.50,1,EOD
2026-06-08 11:10:00 EDT,FB,ENTRY,LONG,29725.25,1,
2026-06-08 14:00:00 EDT,FB,EXIT,LONG,29558.25,1,EOD
2026-06-11 10:40:00 EDT,FB,ENTRY,LONG,28869.75,1,
2026-06-11 11:00:00 EDT,FB,EXIT,LONG,28637.50,1,SL
2026-06-12 11:40:00 EDT,FB,ENTRY,LONG,29653.25,1,
2026-06-12 14:00:00 EDT,FB,EXIT,LONG,29682.50,1,EOD
2026-06-15 09:50:00 EDT,FB,ENTRY,LONG,30475.75,1,
2026-06-15 14:00:00 EDT,FB,EXIT,LONG,30554.50,1,EOD
2026-06-18 10:50:00 EDT,FB,ENTRY,LONG,30645.75,1,
2026-06-18 14:00:00 EDT,FB,EXIT,LONG,30708.50,1,EOD
2026-06-22 10:10:00 EDT,FB,ENTRY,LONG,30949.75,1,
2026-06-22 10:25:00 EDT,FB,EXIT,LONG,30796.25,1,SL
2026-06-26 10:45:00 EDT,FB,ENTRY,LONG,29493.50,1,
2026-06-26 14:00:00 EDT,FB,EXIT,LONG,29544.00,1,EOD
2026-06-30 09:55:00 EDT,FB,ENTRY,LONG,30293.00,1,
2026-06-30 14:00:00 EDT,FB,EXIT,LONG,30524.50,1,EOD
2026-07-06 10:35:00 EDT,FB,ENTRY,LONG,30044.50,1,
2026-07-06 13:45:00 EDT,FB,EXIT,LONG,29886.75,1,SL
2026-07-08 12:40:00 EDT,FB,ENTRY,LONG,29295.50,1,
2026-07-09 09:55:00 EDT,FB,ENTRY,LONG,29901.50,1,
2026-07-09 10:20:00 EDT,FB,EXIT,LONG,29715.25,1,SL
2026-07-10 12:05:00 EDT,FB,ENTRY,LONG,29981.75,1,
2026-07-10 14:00:00 EDT,FB,EXIT,LONG,30038.00,1,EOD
2026-07-17 10:20:00 EDT,FB,ENTRY,LONG,28848.75,1,
2026-07-17 11:05:00 EDT,FB,EXIT,LONG,28690.00,1,SL_YELLOW
2026-07-21 11:10:00 EDT,FB,ENTRY,LONG,29273.50,1,
2026-07-21 14:00:00 EDT,FB,EXIT,LONG,29341.25,1,EOD
2026-07-22 09:35:00 EDT,FB,ENTRY,LONG,29151.00,1,
2026-07-22 10:45:00 EDT,FB,EXIT,LONG,29185.25,1,SL_YELLOW
2026-07-30 09:55:00 EDT,FB,ENTRY,LONG,28102.50,1,
2026-07-30 10:55:00 EDT,FB,EXIT,LONG,28068.50,1,SL_YELLOW
2026-07-31 09:35:00 EDT,FB,ENTRY,LONG,28682.25,1,
2026-07-31 09:45:00 EDT,FB,EXIT,LONG,28419.00,1,SL_YELLOW
2026-08-03 10:20:00 EDT,FB,ENTRY,LONG,28613.50,1,
2026-08-03 14:00:00 EDT,FB,EXIT,LONG,28917.50,1,EOD
2026-08-04 09:45:00 EDT,FB,ENTRY,LONG,29411.50,1,
2026-08-04 13:55:00 EDT,FB,EXIT,LONG,29845.75,1,SL_YELLOW
2026-08-10 10:40:00 EDT,FB,ENTRY,LONG,29860.00,1,
2026-08-10 10:55:00 EDT,FB,EXIT,LONG,29795.75,1,SL_YELLOW
2026-08-13 09:40:00 EDT,FB,ENTRY,LONG,30038.25,1,
2026-08-13 11:30:00 EDT,FB,EXIT,LONG,30188.25,1,SL_YELLOW
2026-08-20 11:05:00 EDT,FB,ENTRY,LONG,29430.25,1,
2026-08-20 13:20:00 EDT,FB,EXIT,LONG,29305.50,1,SL_YELLOW
